council_id,slug,name,type,county,region,website_url,audit_status
32834,ab-kettleby-parish-council,Ab Kettleby Parish Council,parish,Leicestershire,East Midlands,,under_audit
35091,abbas-and-templecombe-parish-council,Abbas and Templecombe Parish Council,parish,Somerset,South West,,under_audit
37185,abberley-parish-council,Abberley Parish Council,parish,Worcestershire,West Midlands,https://www.abberleyparish.org.uk,verified
31654,abberton-parish-council,Abberton Parish Council,parish,Essex,East of England,,under_audit
31632,abbess-beauchamp-and-berners-roding-parish-council,"Abbess, Beauchamp and Berners Roding Parish Council",parish,Essex,East of England,https://www.abbr-pc.gov.uk,verified
,abbey-dore-parish,Abbey Dore,parish,,,,under_audit
33196,abbey-hill-parish-council,Abbey Hill Parish Council,parish,Milton Keynes,South East,,under_audit
32215,abbeydore-and-bacton-group-parish-council,Abbeydore and Bacton Group Parish Council,parish,Herefordshire,West Midlands,https://abbeydoreandbacktongroup-pc.gov.uk/,under_audit
35408,abbots-bickington-parish-council,Abbots Bickington Parish Council,parish,Devon,South West,,under_audit
4782,abbots-bromley-parish-council,Abbots Bromley Parish Council,parish,Staffordshire,West Midlands,http://www.abbotsbromley.com/council,verified
32317,abbots-langley-parish-council,Abbots Langley Parish Council,parish,Hertfordshire,East of England,,under_audit
,abbots-leigh-parish,Abbots Leigh,parish,,,,under_audit
,abbots-morton-parish,Abbots Morton,parish,,,,under_audit
30086,abbots-ripton-parish-council,Abbots Ripton Parish Council,parish,Cambridgeshire,East of England,https://www.abbotsripton-pc.gov.uk,verified
,abbotsbury-parish,Abbotsbury,parish,,,,under_audit
,abbotsham-parish,Abbotsham,parish,,,,under_audit
30982,abbotskerswell-parish-council,Abbotskerswell Parish Council,parish,Devon,South West,,under_audit
30087,abbotsley-parish-council,Abbotsley Parish Council,parish,Cambridgeshire,East of England,https://www.abbotsleyparishcouncil.gov.uk,verified
4943,abbotts-ann-parish-council,Abbotts Ann Parish Council,parish,Hampshire,South East,https://www.abbottsann-pc.gov.uk,under_audit
6022,abdon-and-heath-parish-council,Abdon and Heath Parish Council,parish,Shropshire,West Midlands,,under_audit
,aberford-parish,Aberford,parish,,,https://www.aberford-pc.gov.uk/,verified
,abingdon-on-thames-parish,Abingdon on Thames,parish,,,,under_audit
,abinger-parish,Abinger,parish,,,https://www.abinger-pc.gov.uk/community/abinger-parish-council-13002/home/,verified
,abington-pigotts-parish,Abington Pigotts,parish,,,,under_audit
,abney-and-abney-grange-parish,Abney and Abney Grange,parish,,,,under_audit
35409,above-derw-parish-council,Above Derw Parish Council,parish,,North West,,under_audit
,above-derwent-parish,Above Derwent,parish,,,,under_audit
34120,abthorpe-parish-council,Abthorpe Parish Council,parish,Northamptonshire,East Midlands,https://www.abthorpeparish.gov.uk,verified
32944,aby-with-greenfield-parish-council,Aby with Greenfield Parish Council,parish,Lincolnshire,East Midlands,,under_audit
,acaster-malbis-parish,Acaster Malbis,parish,,,,under_audit
35410,acaster-selby-parish-council,Acaster Selby Parish Council,parish,,Yorkshire and the Humber,,under_audit
6615,acklam-parish-meeting,Acklam (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,,under_audit
34262,acklington-parish-council,Acklington Parish Council,parish,Northumberland,North East,,under_audit
36644,ackworth-parish-council,Ackworth Parish Council,parish,Wakefield,Yorkshire and the Humber,https://www.ackworthparishcouncil.gov.uk/,under_audit
5705,acle-parish-council,Acle Parish Council,parish,Norfolk,East of England,https://acleparishcouncil.gov.uk/,under_audit
32566,acol-parish-council,Acol Parish Council,parish,Kent,South East,,under_audit
34263,acomb-parish-council,Acomb Parish Council,parish,Northumberland,North East,,under_audit
32082,aconbury-parish-meeting,Aconbury Parish Meeting,parish_meeting,Herefordshire,West Midlands,,under_audit
